,Actual-Price,prediction
0,347.73999,347.3301699599439
1,509.0,507.8197045945328
2,419.600006,414.8662120126861
3,565.169983,564.3410720349947
4,368.149994,374.38900749071445
5,311.690002,309.55238448005036
6,291.440002,295.05573512039115
7,527.51001,522.9310815337138
8,525.75,532.8952960517489
9,579.840027,566.0693126766349
10,313.980011,311.905806346477
11,349.600006,340.23826977779345
12,546.880005,547.7476953215665
13,482.880005,479.1128462619075
14,492.98999,492.7351334454946
15,410.170013,398.1340834826299
16,361.049988,364.877118071734
17,339.5,339.82503743418806
18,613.150024,605.0707121852878
19,370.019989,369.39432113522423
20,533.539978,530.7236500919693
21,263.079987,263.0330131817696
22,325.899994,327.1136089612544
23,353.160004,355.2944901054374
24,351.600006,353.0451926947977
25,586.5,581.7044888412978
26,413.440002,415.8888936112129
27,538.849976,544.2198418181691
28,503.859985,500.09144151265343
29,548.72998,541.0809571878594
30,508.25,517.3426714123849
31,300.940002,305.348488003468
32,288.75,281.4375405559181
33,606.049988,606.7543091873318
34,551.340027,548.1804803508539
35,365.359985,363.40431379298445
36,554.580017,552.0156512208813
37,353.190002,348.6341703311872
38,343.279999,345.58429628610736
39,540.219971,542.3116428939815
40,318.829987,312.38811846887995
41,386.700012,384.3245641449
42,302.799988,302.0693604529854
43,357.320007,357.5074186459443
44,379.059998,374.6536213841458
45,290.170013,289.92458581366964
46,359.070007,355.0434950529692
47,361.76001,362.0200146258834
48,527.070007,524.0619930523994
49,361.01001,363.5613791863783
50,326.459991,328.02304273302184
51,424.98999,416.81190849450456
52,380.399994,382.8616151536364
53,296.779999,300.42498262551305
54,363.649994,365.8387500941568
55,539.440002,523.1143054898652
56,503.839996,505.170353130438
57,517.570007,518.1225753001763
58,309.25,308.58737870165066
59,550.119995,547.5612661128948
60,556.52002,555.3552156112684
61,296.929993,296.33993238804976
62,515.859985,518.2717518523094
63,308.929993,312.4501171126717
64,508.779999,499.9105980189082
65,482.839996,480.5581069916525
66,263.309998,267.24423549556684
67,589.349976,584.8013221160612
68,374.130005,377.7413304898695
69,546.539978,542.0338233688625
70,265.140015,269.23227460363944
71,613.119995,611.9264279257949
72,332.670013,341.5305615926908
73,307.350006,306.16886527898384
74,439.170013,444.4705001483077
75,443.399994,449.9372809880539
76,592.390015,586.8728608648784
77,518.059998,514.2755391950631
78,690.309998,683.7393605746873
79,293.350006,296.3713036673345
80,359.910004,362.0567098876106
81,311.690002,312.3507789778335
82,490.700012,487.06607500511234
83,349.190002,349.0098751446069
84,367.679993,368.4363667157753
85,348.679993,352.0704928825596
86,258.820007,261.4943586395525
87,392.869995,386.2928476696476
88,316.779999,320.4138729213612
89,485.799988,483.45194451408975
90,293.970001,292.13578303786727
91,419.850006,419.73750229512495
92,387.149994,363.4166134457703
93,336.630005,341.2493269620312
94,480.450012,482.5056573497774
95,332.700012,329.13261535831043
96,548.219971,540.4618117662031
97,288.850006,293.53222407632404
98,368.329987,364.98092868817673
99,441.950012,441.06952960396836
100,514.25,519.6613843246747
101,311.649994,310.63185121700144
102,396.720001,390.8400482411663
103,488.769989,490.38127828826055
104,359.929993,356.563717859931
105,317.380005,306.4830224338755
106,530.76001,531.5987695512335
107,353.540009,351.7917783358556
108,369.209991,371.0211090843285
109,514.72998,502.70313192369315
